keyword,importance
onze,0.08019634072149671
alle,0.0365797343464548
dragen,0.017430575599072826
contact,0.015239947797338808
bekijk,0.012682515857281107
actief,0.009630443149615416
rij,0.008792815549794504
bewust,0.0074473073542318914
elk,0.007436536683502399
tip,0.0071796726178838454
vast,0.007011367704948835
word,0.00683721285230727
klant,0.006826535666603843
fri,0.006821739624975391
goed,0.0067679186384728965
waarom,0.006643864980187692
moderne,0.006637431364774448
fijne,0.0064065156321210116
portemonnee,0.006346777563916368
aanbod,0.006346759476029385
laag,0.006206016069109564
ronde,0.005560096136502977
simpel,0.004993869284352745
milieuvriendelijke,0.00498935685498574
zon,0.004972120246805996
